Gene ID	log2FoldChange	padj
GSBRNA2T00082353001	5.054362184	2.00E-10
GSBRNA2T00103604001	5.053482157	7.44E-08
GSBRNA2T00149841001	5.052603447	2.66E-08
GSBRNA2T00064655001	5.049295458	3.51E-06
GSBRNA2T00148340001	5.047453302	5.10E-06
GSBRNA2T00132980001	5.045466874	5.61E-05
GSBRNA2T00058004001	5.045297183	6.29E-06
GSBRNA2T00093568001	5.041522124	1.66E-07
GSBRNA2T00156890001	5.03947282	6.20E-12
GSBRNA2T00061285001	5.036599669	1.04E-05
GSBRNA2T00068209001	5.036359033	0.000679813
GSBRNA2T00137200001	5.034787593	1.47E-22
GSBRNA2T00051860001	5.034711891	4.77E-11
GSBRNA2T00135238001	5.031436045	0.000455393
GSBRNA2T00071554001	5.030935107	6.70E-19
GSBRNA2T00004621001	5.027840753	2.47E-22
GSBRNA2T00143278001	5.025292356	1.43E-06
GSBRNA2T00000709001	5.02454776	0.000397907
GSBRNA2T00036803001	5.020421389	1.10E-10
GSBRNA2T00080728001	5.01905915	0.00223062
GSBRNA2T00002751001	5.015647109	1.59E-14
GSBRNA2T00075632001	5.015260672	9.96E-06
GSBRNA2T00060738001	5.012732759	1.14E-14
GSBRNA2T00155850001	5.011282669	6.69E-11
GSBRNA2T00020437001	4.994122248	6.37E-05
GSBRNA2T00007201001	4.991243247	0.00070444
GSBRNA2T00028217001	4.98743364	0.001922206
GSBRNA2T00112291001	4.984292406	0.000911891
GSBRNA2T00141398001	4.980252347	0.000495127
GSBRNA2T00046971001	4.979655764	0.000582553
GSBRNA2T00109128001	4.974684461	7.67E-13
GSBRNA2T00079231001	4.974323043	2.40E-07
GSBRNA2T00132439001	4.970570293	1.51E-08
GSBRNA2T00153156001	4.969649488	6.71E-11
GSBRNA2T00138815001	4.968651095	0.000163903
GSBRNA2T00146047001	4.968028852	0.003189434
GSBRNA2T00087677001	4.96682698	9.94E-14
GSBRNA2T00027479001	4.964966644	2.55E-11
GSBRNA2T00105139001	4.959839928	1.59E-20
GSBRNA2T00071050001	4.956297147	1.78E-08
GSBRNA2T00059422001	4.954958753	5.37E-07
GSBRNA2T00151783001	4.951255536	2.46E-09
GSBRNA2T00068675001	4.947205088	3.65E-05
GSBRNA2T00011138001	4.94587322	1.18E-08
GSBRNA2T00105462001	4.944830149	5.85E-07
GSBRNA2T00036969001	4.937320978	6.54E-07
GSBRNA2T00037337001	4.936976572	7.14E-06
GSBRNA2T00091259001	4.936862793	1.00E-17
GSBRNA2T00010502001	4.935348115	3.45E-05
GSBRNA2T00033574001	4.932875434	8.59E-24
GSBRNA2T00089292001	4.932873243	0.00125933
GSBRNA2T00101223001	4.929773376	0.001800997
GSBRNA2T00116968001	4.92941321	0.000104601
GSBRNA2T00070609001	4.928714451	7.67E-31
GSBRNA2T00127448001	4.925554084	7.94E-28
GSBRNA2T00081051001	4.92256712	0.000406261
GSBRNA2T00098528001	4.921215822	6.28E-07
GSBRNA2T00004573001	4.918518209	6.73E-07
GSBRNA2T00066763001	4.918495375	6.54E-25
GSBRNA2T00132622001	4.910037636	0.0016252
GSBRNA2T00077077001	4.909972259	0.000320756
GSBRNA2T00015968001	4.909697727	0.000589206
GSBRNA2T00047460001	4.90158403	0.000508141
GSBRNA2T00156200001	4.900180222	5.66E-05
GSBRNA2T00100952001	4.898344952	0.001815952
GSBRNA2T00062029001	4.897231782	7.05E-07
GSBRNA2T00066288001	4.897140236	1.85E-08
GSBRNA2T00075721001	4.894282353	0.001776038
GSBRNA2T00149741001	4.887566295	8.40E-14
GSBRNA2T00009760001	4.879410176	0.001120713
GSBRNA2T00072271001	4.87649903	2.92E-25
GSBRNA2T00113597001	4.875433044	2.31E-21
GSBRNA2T00023872001	4.873054498	1.46E-15
GSBRNA2T00047462001	4.872133561	2.04E-12
GSBRNA2T00151000001	4.868806964	4.06E-07
GSBRNA2T00016397001	4.867948766	0.000299361
GSBRNA2T00008553001	4.863244922	2.97E-07
GSBRNA2T00016155001	4.859725212	5.54E-08
GSBRNA2T00049798001	4.858729247	1.76E-07
GSBRNA2T00150001001	4.856999153	0.001828173
GSBRNA2T00079740001	4.854819024	8.09E-05
GSBRNA2T00136047001	4.852175695	6.81E-06
GSBRNA2T00034667001	4.841239847	3.02E-30
GSBRNA2T00112295001	4.840035056	1.17E-05
GSBRNA2T00054712001	4.838561376	0.001144354
GSBRNA2T00055037001	4.835547955	0.000197054
