Gene ID	Root 1 hr log2FoldChange	padj
GSBRNA2T00137632001	5.735466043	0.004625574
GSBRNA2T00057145001	5.730753152	0.001235095
GSBRNA2T00052807001	5.727380141	0.000759349
GSBRNA2T00040367001	5.723951191	6.50E-08
GSBRNA2T00042418001	5.722833307	0.000641027
GSBRNA2T00146505001	5.71739287	0.005666793
GSBRNA2T00141429001	5.715463088	1.03E-11
GSBRNA2T00139002001	5.714516996	2.51E-06
GSBRNA2T00024239001	5.713469296	0.000329501
GSBRNA2T00008096001	5.707039767	1.70E-05
GSBRNA2T00047641001	5.706114428	2.13E-14
GSBRNA2T00027986001	5.706099273	0.002365818
GSBRNA2T00049769001	5.700303718	6.60E-08
GSBRNA2T00022359001	5.691176536	7.44E-06
GSBRNA2T00145950001	5.687311435	6.64E-08
GSBRNA2T00111253001	5.6836192	0.000305233
GSBRNA2T00121286001	5.682909197	1.64E-09
GSBRNA2T00033141001	5.681966749	0.009976558
GSBRNA2T00152010001	5.677722471	0.000636913
GSBRNA2T00149224001	5.675275617	1.72E-12
GSBRNA2T00044267001	5.669083141	7.84E-05
GSBRNA2T00090357001	5.667553391	1.71E-21
GSBRNA2T00036681001	5.665029424	4.91E-12
GSBRNA2T00137471001	5.66078595	4.47E-10
GSBRNA2T00083253001	5.66047768	0.006283485
GSBRNA2T00044589001	5.657985389	0.001821848
GSBRNA2T00097592001	5.652919217	0.00094988
GSBRNA2T00089390001	5.650992703	3.57E-09
GSBRNA2T00106729001	5.642687017	8.83E-14
GSBRNA2T00024662001	5.642526505	0.00020614
GSBRNA2T00139515001	5.640266423	0.003099995
GSBRNA2T00035535001	5.62964516	0.004008686
GSBRNA2T00142174001	5.628874851	0.000144453
GSBRNA2T00042109001	5.626493522	7.78E-18
GSBRNA2T00156015001	5.626358212	0.000255951
GSBRNA2T00104806001	5.61871606	3.76E-14
GSBRNA2T00034313001	5.611371888	2.81E-27
GSBRNA2T00104891001	5.609419406	8.90E-37
GSBRNA2T00031761001	5.605910092	1.69E-05
GSBRNA2T00036803001	5.605407707	2.32E-25
GSBRNA2T00028866001	5.603533817	1.14E-12
GSBRNA2T00079231001	5.599199898	3.50E-11
GSBRNA2T00010077001	5.590702361	0.001395162
GSBRNA2T00007987001	5.584701699	4.39E-11
GSBRNA2T00134495001	5.579113402	0.00159504
GSBRNA2T00002750001	5.575065913	1.74E-10
GSBRNA2T00039904001	5.57448158	0.001294172
GSBRNA2T00149223001	5.570851018	0.000631336
GSBRNA2T00122859001	5.570542019	0.000457151
GSBRNA2T00069292001	5.564645822	5.95E-09
GSBRNA2T00046728001	5.561123963	7.72E-16
GSBRNA2T00053648001	5.560566519	5.92E-07
GSBRNA2T00134779001	5.558621605	2.00E-20
GSBRNA2T00050788001	5.556886546	0.00113083
GSBRNA2T00121042001	5.555770009	9.45E-16
GSBRNA2T00029793001	5.555555111	0.001308436
GSBRNA2T00147500001	5.553376073	0.001913613
GSBRNA2T00147998001	5.552630939	0.00171983
GSBRNA2T00114129001	5.545255223	2.02E-24
GSBRNA2T00079436001	5.545151317	0.000420869
GSBRNA2T00100170001	5.54419292	0.000300449
GSBRNA2T00027659001	5.542252684	2.82E-11
GSBRNA2T00006137001	5.541683825	1.77E-16
GSBRNA2T00056783001	5.540337642	0.000166767
GSBRNA2T00016177001	5.53901291	4.69E-12
GSBRNA2T00071506001	5.537701693	0.008261762
GSBRNA2T00096082001	5.535186922	2.11E-09
GSBRNA2T00135385001	5.533135999	2.05E-11
GSBRNA2T00013915001	5.531989206	5.14E-37
GSBRNA2T00056215001	5.529045097	3.49E-13
GSBRNA2T00092948001	5.513059639	1.70E-05
GSBRNA2T00082505001	5.508141939	4.50E-05
GSBRNA2T00070190001	5.503406736	2.01E-07
GSBRNA2T00032929001	5.499785536	0.001675293
GSBRNA2T00096519001	5.499306484	0.006573702
GSBRNA2T00131162001	5.497341989	0.000454724
GSBRNA2T00052662001	5.49655599	3.27E-11
GSBRNA2T00091854001	5.494291294	0.000993212
GSBRNA2T00122855001	5.490012212	1.57E-05
GSBRNA2T00155314001	5.488099406	5.16E-07
GSBRNA2T00082091001	5.483646858	0.008924361
GSBRNA2T00009991001	5.480500484	0.003860429
GSBRNA2T00045032001	5.479264609	0.000150819
GSBRNA2T00156612001	5.478523623	4.91E-15
GSBRNA2T00137271001	5.476503981	4.82E-07
GSBRNA2T00063642001	5.475475578	1.24E-07
GSBRNA2T00003557001	5.458172298	0.001039387
GSBRNA2T00088892001	5.453321166	1.95E-16
GSBRNA2T00087675001	5.453131284	0.00705651
GSBRNA2T00015767001	5.44931028	0.010728612
GSBRNA2T00106869001	5.444606642	0.000145975
GSBRNA2T00150971001	5.443187221	3.15E-16
GSBRNA2T00079454001	5.440358384	0.002105983
GSBRNA2T00089741001	5.437337036	0.001086727
GSBRNA2T00095304001	5.436954537	0.006528817
GSBRNA2T00104063001	5.436944388	0.00710647
GSBRNA2T00100978001	5.435183082	0.006653918
GSBRNA2T00095321001	5.434761061	7.63E-11
GSBRNA2T00111985001	5.433484751	0.000150588
GSBRNA2T00124720001	5.429290042	8.05E-10
GSBRNA2T00034379001	5.419180264	0.006755777
GSBRNA2T00001506001	5.415631683	6.31E-08
GSBRNA2T00075731001	5.410328285	1.75E-13
GSBRNA2T00023158001	5.407137206	1.68E-09
GSBRNA2T00054497001	5.405772665	0.007920113
GSBRNA2T00038815001	5.403498671	9.97E-13
GSBRNA2T00103004001	5.402387229	2.80E-28
GSBRNA2T00016616001	5.395556961	0.000172595
GSBRNA2T00076343001	5.392810922	5.87E-06
GSBRNA2T00038175001	5.390196857	2.91E-06
GSBRNA2T00019577001	5.389558793	0.002707518
GSBRNA2T00077077001	5.38881845	7.29E-15
GSBRNA2T00092243001	5.387504855	0.000221664
GSBRNA2T00116968001	5.385786649	6.76E-09
GSBRNA2T00142920001	5.384735098	1.86E-13
GSBRNA2T00010329001	5.381959979	5.48E-14
GSBRNA2T00048054001	5.378709884	8.62E-11
GSBRNA2T00090463001	5.378096271	0.003228173
GSBRNA2T00135275001	5.372101738	3.92E-05
GSBRNA2T00068066001	5.371912156	0.00116757
GSBRNA2T00003368001	5.369935841	4.68E-13
GSBRNA2T00064015001	5.369243448	2.07E-15
GSBRNA2T00132679001	5.366234574	0.003729696
GSBRNA2T00045684001	5.365380251	0.002486828
GSBRNA2T00138557001	5.359551012	8.78E-08
GSBRNA2T00122279001	5.356900565	0.004617091
GSBRNA2T00096243001	5.35556026	0.001665157
GSBRNA2T00111738001	5.352523373	1.86E-05
GSBRNA2T00120403001	5.345557859	0.01212827
GSBRNA2T00055129001	5.342371544	3.99E-05
GSBRNA2T00120948001	5.335660865	0.011867451
GSBRNA2T00047122001	5.333774381	5.18E-12
GSBRNA2T00046809001	5.33321901	4.77E-05
GSBRNA2T00016236001	5.33078682	0.005977076
GSBRNA2T00081006001	5.327950026	0.002745601
GSBRNA2T00128826001	5.324509214	0.002170761
GSBRNA2T00005440001	5.316115856	1.57E-15
GSBRNA2T00146550001	5.313544476	0.000648419
GSBRNA2T00088328001	5.311806977	2.78E-24
GSBRNA2T00108020001	5.311641259	0.005539183
GSBRNA2T00134492001	5.311550301	0.00321234
GSBRNA2T00070231001	5.310236692	0.007916251
GSBRNA2T00136636001	5.310236692	0.007916251
GSBRNA2T00037015001	5.303470105	0.002616382
GSBRNA2T00029905001	5.30322647	0.000268173
GSBRNA2T00016973001	5.297543865	0.004101239
GSBRNA2T00078033001	5.295602	0.006295515
GSBRNA2T00136616001	5.294863405	6.96E-11
GSBRNA2T00078031001	5.289982591	3.64E-07
GSBRNA2T00094262001	5.287231662	1.11E-07
GSBRNA2T00019407001	5.284344253	0.000436834
GSBRNA2T00011136001	5.28306901	0.002924586
GSBRNA2T00116512001	5.280581464	0.000369448
GSBRNA2T00099645001	5.280457357	4.54E-07
GSBRNA2T00129641001	5.279467135	5.75E-17
GSBRNA2T00076566001	5.278959635	3.24E-18
GSBRNA2T00069307001	5.270317048	3.97E-09
GSBRNA2T00031454001	5.261864864	7.18E-09
GSBRNA2T00097971001	5.259512896	0.001030146
GSBRNA2T00037127001	5.258698375	0.002015685
GSBRNA2T00156569001	5.255753086	4.78E-11
GSBRNA2T00026400001	5.254859723	3.21E-05
GSBRNA2T00002231001	5.252126845	8.49E-06
GSBRNA2T00125596001	5.250573814	0.003105863
GSBRNA2T00095870001	5.249756846	0.003084675
GSBRNA2T00137995001	5.241785497	6.77E-08
GSBRNA2T00068209001	5.239599462	0.006141449
GSBRNA2T00150969001	5.234440086	1.78E-05
GSBRNA2T00106217001	5.234253832	1.47E-12
GSBRNA2T00145185001	5.231901777	5.86E-06
GSBRNA2T00078867001	5.225339811	8.22E-19
GSBRNA2T00019330001	5.217174846	6.40E-06
GSBRNA2T00005230001	5.214340257	0.000758164
GSBRNA2T00048929001	5.21050295	0.002160491
GSBRNA2T00066423001	5.208930927	0.006755777
GSBRNA2T00042723001	5.205434586	8.30E-09
GSBRNA2T00104909001	5.205424242	2.25E-13
GSBRNA2T00111182001	5.200019649	8.83E-06
GSBRNA2T00098027001	5.191735922	7.85E-05
GSBRNA2T00022858001	5.191519422	4.54E-12
GSBRNA2T00071551001	5.189110462	0.00105713
GSBRNA2T00013708001	5.184690987	0.003878677
GSBRNA2T00042416001	5.184225362	0.000281771
GSBRNA2T00010055001	5.183504712	0.000616169
GSBRNA2T00094674001	5.180750169	0.009019475
GSBRNA2T00000900001	5.180290031	0.005555584
GSBRNA2T00087082001	5.179527057	3.37E-08
GSBRNA2T00134493001	5.177254598	0.000326007
GSBRNA2T00099602001	5.17006931	0.001246246
GSBRNA2T00155125001	5.169586796	2.20E-10
GSBRNA2T00126703001	5.169406648	5.34E-21
GSBRNA2T00078831001	5.169178045	0.002694851
GSBRNA2T00081761001	5.165811963	0.007494814
GSBRNA2T00077358001	5.16006255	3.59E-09
GSBRNA2T00028947001	5.159735689	0.004135054
GSBRNA2T00041793001	5.15680884	4.56E-06
GSBRNA2T00131115001	5.156114618	0.000293818
GSBRNA2T00059364001	5.155468968	0.008041326
GSBRNA2T00130950001	5.154826078	7.86E-09
GSBRNA2T00057933001	5.151570658	9.28E-21
GSBRNA2T00128432001	5.151197434	0.000303914
GSBRNA2T00044709001	5.149481336	1.93E-07
GSBRNA2T00063598001	5.149070921	0.007266411
GSBRNA2T00124306001	5.14589016	5.09E-11
GSBRNA2T00136890001	5.141987964	0.00276852
GSBRNA2T00067869001	5.139516706	4.01E-07
GSBRNA2T00139105001	5.13689835	0.000133787
GSBRNA2T00130498001	5.136748274	7.91E-14
GSBRNA2T00148754001	5.134506491	0.000266504
GSBRNA2T00149578001	5.124601736	0.010592552
GSBRNA2T00018997001	5.122449366	0.002536589
GSBRNA2T00135683001	5.119908179	4.75E-08
GSBRNA2T00106334001	5.119902747	4.08E-15
GSBRNA2T00009995001	5.11859161	0.008626686
GSBRNA2T00134389001	5.117398201	2.94E-07
GSBRNA2T00020836001	5.116397511	1.03E-07
GSBRNA2T00154252001	5.116144245	8.13E-09
GSBRNA2T00112873001	5.115005178	0.004309706
GSBRNA2T00121511001	5.11386541	1.85E-09
GSBRNA2T00114994001	5.11211097	0.004564418
GSBRNA2T00104981001	5.111777196	1.87E-11
GSBRNA2T00021228001	5.111656792	1.43E-05
GSBRNA2T00040191001	5.10932171	9.79E-05
GSBRNA2T00018019001	5.108871422	0.006848219
GSBRNA2T00057837001	5.106002484	0.010701176
GSBRNA2T00057133001	5.098105291	0.000377361
GSBRNA2T00132808001	5.097821824	0.006432364
GSBRNA2T00099331001	5.091689321	6.53E-10
GSBRNA2T00114998001	5.089715791	3.63E-25
GSBRNA2T00077599001	5.084442103	1.09E-09
GSBRNA2T00074132001	5.083880806	4.62E-08
GSBRNA2T00058062001	5.076040816	0.013384459
GSBRNA2T00143905001	5.073900033	1.79E-18
GSBRNA2T00136125001	5.072929728	0.000380446
GSBRNA2T00054560001	5.072651717	3.27E-11
GSBRNA2T00157107001	5.072384467	6.35E-05
GSBRNA2T00141431001	5.069392432	1.54E-07
GSBRNA2T00101688001	5.061719188	0.004267495
GSBRNA2T00104156001	5.058760348	1.54E-09
GSBRNA2T00089487001	5.057950835	1.48E-12
GSBRNA2T00096047001	5.056718133	1.58E-10
GSBRNA2T00066395001	5.053587569	0.011309501
GSBRNA2T00104848001	5.053195016	2.87E-09
GSBRNA2T00038681001	5.052314376	4.91E-07
GSBRNA2T00107863001	5.048267628	1.05E-06
GSBRNA2T00095318001	5.045442264	1.60E-05
GSBRNA2T00030301001	5.042141486	0.000222236
GSBRNA2T00121287001	5.041832526	3.33E-19
GSBRNA2T00009760001	5.041720224	0.006716491
GSBRNA2T00085355001	5.037508765	7.12E-15
GSBRNA2T00119527001	5.032056681	0.003621608
GSBRNA2T00072271001	5.031161939	2.23E-08
GSBRNA2T00010874001	5.030059414	0.00851308
GSBRNA2T00082521001	5.028600197	1.83E-10
GSBRNA2T00045445001	5.027990783	0.000211707
GSBRNA2T00091374001	5.026184211	4.84E-13
GSBRNA2T00016666001	5.020234031	0.001852053
GSBRNA2T00068819001	5.016425562	2.51E-13
GSBRNA2T00119675001	5.014810512	9.58E-16
GSBRNA2T00136221001	5.014044665	8.80E-14
